"Friday_of_Week","NFCI","ANFCI","Risk","Credit","Leverage","Nonfinancial Leverage","Detrended Credit-to-GDP Ratio"
"01/08/1971","0.66","0.55","0.67","-1.16","-1.26","-0.67",""
"01/15/1971","0.7","0.58","0.7","-1.16","-1.27","-0.68",""
"01/22/1971","0.74","0.64","0.74","-1.16","-1.3","-0.69",""
"01/29/1971","0.79","0.71","0.78","-1.17","-1.32","-0.7",""
"02/05/1971","0.83","0.79","0.83","-1.17","-1.34","-0.71",""
"02/12/1971","0.88","0.88","0.87","-1.18","-1.36","-0.73",""
"02/19/1971","0.92","0.95","0.92","-1.19","-1.39","-0.74",""
"02/26/1971","0.96","1.01","0.96","-1.21","-1.41","-0.76",""
"03/05/1971","0.99","1.05","1","-1.23","-1.44","-0.78",""
"03/12/1971","1.03","1.07","1.04","-1.25","-1.46","-0.81",""
"03/19/1971","1.07","1.08","1.09","-1.28","-1.48","-0.83",""
"03/26/1971","1.12","1.1","1.16","-1.31","-1.5","-0.86",""
"04/02/1971","1.18","1.14","1.23","-1.35","-1.52","-0.88",""
"04/09/1971","1.25","1.23","1.32","-1.4","-1.53","-0.91",""
"04/16/1971","1.33","1.35","1.42","-1.45","-1.54","-0.93",""
"04/23/1971","1.41","1.52","1.52","-1.5","-1.55","-0.95",""
"04/30/1971","1.48","1.7","1.61","-1.55","-1.56","-0.97",""
"05/07/1971","1.53","1.88","1.68","-1.61","-1.56","-0.99",""
"05/14/1971","1.56","2","1.72","-1.67","-1.55","-1.01",""
"05/21/1971","1.54","2.04","1.71","-1.72","-1.55","-1.02",""
"05/28/1971","1.48","1.98","1.67","-1.77","-1.54","-1.03",""
"06/04/1971","1.39","1.81","1.59","-1.81","-1.53","-1.04",""
"06/11/1971","1.27","1.55","1.47","-1.84","-1.51","-1.04",""
"06/18/1971","1.14","1.22","1.35","-1.87","-1.5","-1.04",""
"06/25/1971","1.01","0.88","1.23","-1.89","-1.48","-1.04",""
"07/02/1971","0.93","0.57","1.15","-1.9","-1.46","-1.03","0.25"
"07/09/1971","0.9","0.36","1.11","-1.9","-1.44","-1.03",""
"07/16/1971","0.93","0.31","1.15","-1.89","-1.43","-1.02",""
"07/23/1971","1.04","0.45","1.25","-1.87","-1.41","-1.01",""
"07/30/1971","1.22","0.77","1.42","-1.85","-1.39","-1",""
"08/06/1971","1.44","1.24","1.63","-1.81","-1.38","-0.98",""
"08/13/1971","1.69","1.77","1.86","-1.76","-1.36","-0.97",""
"08/20/1971","1.94","2.29","2.09","-1.71","-1.35","-0.96",""
"08/27/1971","2.14","2.7","2.28","-1.65","-1.34","-0.95",""
"09/03/1971","2.29","2.96","2.41","-1.6","-1.33","-0.93",""
"09/10/1971","2.36","3.04","2.46","-1.54","-1.33","-0.92",""
